ID;Country;Year;VoiceAcc;YearsSchooling;FH;FH_trichot;PolViol;Pop;GDP_cap;GDP_growth;FH_t_10
1;AFGHANISTAN;1996;1.92;1.86;14;3;1.442307711;17481.8;;;14
1;AFGHANISTAN;1997;1.2;1.92;14;3;0.96;18034.13;;;14
1;AFGHANISTAN;1998;0.48;1.98;14;3;0.48;18511.48;;;12
1;AFGHANISTAN;1999;0.96;2.04;14;3;0.48;19038.42;;;14
1;AFGHANISTAN;2000;1.44;2.1;14;3;0.48;19701.94;;;14
1;AFGHANISTAN;2001;4.09;2.18;14;3;0.96;20531.16;;;14
1;AFGHANISTAN;2002;6.73;2.26;12;3;1.44;21487.079;;;12
1;AFGHANISTAN;2003;12.02;2.34;12;3;1.92;22507.368;;;14
1;AFGHANISTAN;2004;13.94;2.42;11;3;1.92;23499.85;940.4762943;-3.212378694;14
1;AFGHANISTAN;2005;13.46;2.5;10;2;2.4;24399.948;1039.408238;7.074087797;14
1;AFGHANISTAN;2006;13.94;2.6;10;2;1.44;25183.615;1095.655623;2.269490269;14
1;AFGHANISTAN;2007;16.35;2.8;10;2;1.44;25877.544;1245.059215;10.69016181;14
1;AFGHANISTAN;2008;13.46;2.9;11;3;0.48;26528.741;1283.040979;1.068035776;14
1;AFGHANISTAN;2009;8.53;3.1;12;3;0.47;27207.291;1525.517044;18.00239303;14
1;AFGHANISTAN;2010;7.58;3.2;12;3;1.42;27962.207;1629.167284;5.505838227;14
1;AFGHANISTAN;2011;9.39;3.2;12;3;1.42;28809.167;1712.58872;2.99405152;14
1;AFGHANISTAN;2012;11.37;3.2;12;3;1.9;29726.803;1933.396257;10.90225788;12
1;AFGHANISTAN;2013;13.27;3.2;12;3;1.42;30682.5;1937.855965;-1.240896837;12
1;AFGHANISTAN;2014;15.76;3.2;12;3;2.91;31627.506;1945.502421;-1.049105959;11
2;ALBANIA;1996;24.52;8.06;8;2;31.25;3092.034;3245.557558;9.780180443;14
2;ALBANIA;1997;30.29;8.17;8;2;28.13;3092.471;2982.992396;-9.636603785;14
2;ALBANIA;1998;36.06;8.28;9;2;25;3102.898;3419.771141;13.41149636;14
2;ALBANIA;1999;38.22;8.39;9;2;25.72;3114.851;3847.075755;10.79953375;14
2;ALBANIA;2000;40.38;8.5;9;2;26.44;3121.965;4248.837891;7.986067934;13
2;ALBANIA;2001;43.99;8.56;7;2;28.61;3124.093;4693.704198;8.008890005;8
2;ALBANIA;2002;47.6;8.62;6;2;30.77;3123.112;5067.766077;7.453765167;7
2;ALBANIA;2003;48.56;8.68;6;2;34.62;3117.045;5441.827957;6.89864033;6
2;ALBANIA;2004;50.48;8.74;6;2;29.33;3103.758;5815.889837;6.343515492;7
2;ALBANIA;2005;52.88;8.8;6;2;29.33;3082.172;6365.680884;6.04123409;7
2;ALBANIA;2006;49.52;8.9;6;2;29.81;3050.741;7181.108228;5.664561245;8
2;ALBANIA;2007;51.44;8.9;6;2;37.98;3010.849;7659.173527;6.70344251;8
2;ALBANIA;2008;53.85;9;6;2;43.06;2968.026;8769.11767;8.364645265;9
2;ALBANIA;2009;53.55;9;6;2;42.65;2929.886;9345.093762;4.053089488;9
2;ALBANIA;2010;53.55;9.1;6;2;39.62;2901.883;9297.492753;4.223051185;9
2;ALBANIA;2011;51.64;9.3;6;2;38.21;2886.01;9640.130216;2.836285586;7
2;ALBANIA;2012;50.24;9.3;6;2;40.28;2880.667;9666.697322;1.774041281;6
